,date,count,Total
0,1874-05-01,74.58064516129032,270.8709677419355
1,1874-06-01,63.766666666666666,346.0
2,1874-07-01,113.2258064516129,1033.516129032258
3,1874-08-01,102.25806451612904,954.1290322580645
4,1874-09-01,46.833333333333336,335.26666666666665
5,1874-10-01,57.41935483870968,415.35483870967744
6,1874-11-01,48.2,387.8333333333333
7,1874-12-01,48.774193548387096,93.16129032258064
8,1875-01-01,24.419354838709676,72.41935483870968
9,1875-02-01,35.857142857142854,399.17857142857144
10,1875-03-01,56.38709677419355,423.03225806451616
11,1875-04-01,48.6,393.8333333333333
12,1875-05-01,19.225806451612904,145.41935483870967
13,1875-06-01,39.93333333333333,438.8666666666667
14,1875-07-01,20.903225806451612,76.7741935483871
15,1875-08-01,24.419354838709676,124.2258064516129
16,1875-09-01,3.966666666666667,34.03333333333333
17,1875-10-01,21.322580645161292,132.38709677419354
18,1875-11-01,29.566666666666666,187.5
19,1875-12-01,16.483870967741936,91.03225806451613
20,1876-01-01,23.93548387096774,167.48387096774192
21,1876-02-01,25.137931034482758,263.55172413793105
22,1876-03-01,51.064516129032256,231.41935483870967
23,1876-04-01,3.933333333333333,15.766666666666667
24,1876-05-01,8.516129032258064,37.25806451612903
25,1876-06-01,2.7333333333333334,15.233333333333333
26,1876-07-01,25.548387096774192,65.64516129032258
27,1876-08-01,14.774193548387096,34.70967741935484
28,1876-09-01,16.6,90.46666666666667
29,1876-10-01,23.870967741935484,155.25806451612902
30,1876-11-01,16.566666666666666,69.13333333333334
31,1876-12-01,13.64516129032258,149.29032258064515
32,1877-01-01,40.645161290322584,188.93548387096774
33,1877-02-01,14.5,66.21428571428571
34,1877-03-01,19.870967741935484,65.74193548387096
35,1877-04-01,26.266666666666666,90.63333333333334
36,1877-05-01,36.064516129032256,85.48387096774194
37,1877-06-01,23.566666666666666,57.53333333333333
38,1877-07-01,10.03225806451613,4.161290322580645
39,1877-08-01,10.516129032258064,34.935483870967744
40,1877-09-01,28.133333333333333,72.96666666666667
41,1877-10-01,11.161290322580646,126.25806451612904
42,1877-11-01,23.633333333333333,283.46666666666664
43,1877-12-01,3.5483870967741935,23.258064516129032
44,1878-01-01,5.548387096774194,14.870967741935484
45,1878-02-01,11.035714285714286,18.142857142857142
46,1878-03-01,13.064516129032258,47.935483870967744
47,1878-04-01,0.16666666666666666,0.43333333333333335
48,1878-05-01,9.870967741935484,51.483870967741936
49,1878-06-01,10.7,41.0
50,1878-07-01,0.22580645161290322,0.3548387096774194
51,1878-08-01,0.0,0.0
52,1878-09-01,8.8,57.233333333333334
53,1878-10-01,1.903225806451613,9.64516129032258
54,1878-11-01,6.8,23.6
55,1878-12-01,0.9354838709677419,2.0
56,1879-01-01,1.6451612903225807,1.1612903225806452
57,1879-02-01,0.9285714285714286,0.0
58,1879-03-01,0.0,0.0
59,1879-04-01,10.4,50.46666666666667
60,1879-05-01,4.032258064516129,5.806451612903226
61,1879-06-01,7.966666666666667,19.6
62,1879-07-01,12.580645161290322,51.38709677419355
63,1879-08-01,17.903225806451612,37.29032258064516
64,1879-09-01,10.066666666666666,41.266666666666666
65,1879-10-01,20.419354838709676,81.48387096774194
66,1879-11-01,21.866666666666667,108.66666666666667
67,1879-12-01,12.193548387096774,33.774193548387096
68,1880-01-01,40.12903225806452,292.16129032258067
69,1880-02-01,45.37931034482759,337.62068965517244
70,1880-03-01,32.096774193548384,142.67741935483872
71,1880-04-01,32.43333333333333,216.73333333333332
72,1880-05-01,39.096774193548384,408.96774193548384
73,1880-06-01,56.9,488.1666666666667
74,1880-07-01,36.54838709677419,206.06451612903226
75,1880-08-01,80.25806451612904,715.3225806451613
76,1880-09-01,110.06666666666666,926.5
77,1880-10-01,71.6774193548387,561.4516129032259
78,1880-11-01,51.13333333333333,483.06666666666666
79,1880-12-01,49.38709677419355,460.61290322580646
80,1881-01-01,60.61290322580645,585.2258064516129
81,1881-02-01,88.60714285714286,675.9285714285714
82,1881-03-01,85.7741935483871,640.483870967742
83,1881-04-01,86.06666666666666,530.2333333333333
84,1881-05-01,72.54838709677419,376.93548387096774
85,1881-06-01,100.8,612.4
86,1881-07-01,128.16129032258064,941.0645161290323
87,1881-08-01,97.29032258064517,737.9677419354839
88,1881-09-01,88.56666666666666,867.0
89,1881-10-01,107.25806451612904,705.0967741935484
90,1881-11-01,91.46666666666667,840.4333333333333
91,1881-12-01,78.83870967741936,641.1612903225806
92,1882-01-01,74.96774193548387,328.741935483871
93,1882-02-01,115.85714285714286,673.1071428571429
94,1882-03-01,111.48387096774194,928.8709677419355
95,1882-04-01,159.56666666666666,1799.0666666666666
96,1882-05-01,106.90322580645162,1519.6129032258063
97,1882-06-01,75.43333333333334,557.8333333333334
98,1882-07-01,75.6774193548387,461.5483870967742
99,1882-08-01,67.45161290322581,607.5806451612904
100,1882-09-01,96.06666666666666,1026.8666666666666
101,1882-10-01,98.64516129032258,1393.774193548387
102,1882-11-01,140.56666666666666,1931.1333333333334
103,1882-12-01,69.70967741935483,352.9032258064516
104,1883-01-01,101.03225806451613,849.7741935483871
105,1883-02-01,78.21428571428571,734.7857142857143
106,1883-03-01,71.3225806451613,621.1935483870968
107,1883-04-01,136.76666666666668,1132.5
108,1883-05-01,52.516129032258064,339.35483870967744
109,1883-06-01,127.23333333333333,1451.4333333333334
110,1883-07-01,134.3548387096774,2007.6774193548388
111,1883-08-01,76.61290322580645,595.5806451612904
112,1883-09-01,87.76666666666667,1230.2333333333333
113,1883-10-01,139.61290322580646,1793.3225806451612
114,1883-11-01,140.8,1725.6
